VideoName,7s_MOS,15s_MOS
A_Bay.mp4/sub1,3.4285714285714284,3.333333333333333
A_Bay.mp4/sub2,3.4285714285714284,3.333333333333333
A_Bay.mp4/sub3,3.4285714285714284,3.333333333333333
A_Bay.mp4/sub4,3.4285714285714284,3.333333333333333
A_Bay.mp4/sub5,3.4285714285714284,3.333333333333333
A_Bay.mp4/sub6,3.4285714285714284,3.333333333333333
A_Bay.mp4/sub7,3.4285714285714284,3.333333333333333
A_Bay.mp4/sub8,3.4285714285714284,3.333333333333333
A_Bay.mp4/sub9,3.4285714285714284,3.333333333333333
A_Bay.mp4/sub10,3.4285714285714284,3.333333333333333
A_Bay.mp4/sub11,3.4285714285714284,3.333333333333333
A_Bay.mp4/sub12,3.4285714285714284,3.333333333333333
A_Bay.mp4/sub13,3.4285714285714284,3.333333333333333
A_Bay.mp4/sub14,3.4285714285714284,3.333333333333333
A_Bay.mp4/sub15,3.4285714285714284,3.333333333333333
A_Bay.mp4/sub16,3.4285714285714284,3.333333333333333
A_Bay.mp4/sub17,3.4285714285714284,3.333333333333333
A_Bay.mp4/sub18,3.4285714285714284,3.333333333333333
A_Bay.mp4/sub19,3.4285714285714284,3.333333333333333
A_Bay.mp4/sub20,3.4285714285714284,3.333333333333333
A_Boat.mp4/sub1,2.388888888888889,1.2941176470588236
A_Boat.mp4/sub2,2.388888888888889,1.2941176470588236
A_Boat.mp4/sub3,2.388888888888889,1.2941176470588236
A_Boat.mp4/sub4,2.388888888888889,1.2941176470588236
A_Boat.mp4/sub5,2.388888888888889,1.2941176470588236
A_Boat.mp4/sub6,2.388888888888889,1.2941176470588236
A_Boat.mp4/sub7,2.388888888888889,1.2941176470588236
A_Boat.mp4/sub8,2.388888888888889,1.2941176470588236
A_Boat.mp4/sub9,2.388888888888889,1.2941176470588236
A_Boat.mp4/sub10,2.388888888888889,1.2941176470588236
A_Boat.mp4/sub11,2.388888888888889,1.2941176470588236
A_Boat.mp4/sub12,2.388888888888889,1.2941176470588236
A_Boat.mp4/sub13,2.388888888888889,1.2941176470588236
A_Boat.mp4/sub14,2.388888888888889,1.2941176470588236
A_Boat.mp4/sub15,2.388888888888889,1.2941176470588236
A_Boat.mp4/sub16,2.388888888888889,1.2941176470588236
A_Boat.mp4/sub17,2.388888888888889,1.2941176470588236
A_Boat.mp4/sub18,2.388888888888889,1.2941176470588236
A_Boat.mp4/sub19,2.388888888888889,1.2941176470588236
A_Boat.mp4/sub20,2.388888888888889,1.2941176470588236
A_Coffee.mp4/sub1,2.0,1.5238095238095235
