VideoName,7s_MOS,15s_MOS
A_A_Bay.mp4/sub1,3.4761904761904763,4.25
A_A_Bay.mp4/sub2,3.4761904761904763,4.25
A_A_Bay.mp4/sub3,3.4761904761904763,4.25
A_A_Bay.mp4/sub4,3.4761904761904763,4.25
A_A_Bay.mp4/sub5,3.4761904761904763,4.25
A_A_Bay.mp4/sub6,3.4761904761904763,4.25
A_A_Bay.mp4/sub7,3.4761904761904763,4.25
A_A_Bay.mp4/sub8,3.4761904761904763,4.25
A_A_Bay.mp4/sub9,3.4761904761904763,4.25
A_A_Bay.mp4/sub10,3.4761904761904763,4.25
A_A_Bay.mp4/sub11,3.4761904761904763,4.25
A_A_Bay.mp4/sub12,3.4761904761904763,4.25
A_A_Bay.mp4/sub13,3.4761904761904763,4.25
A_A_Bay.mp4/sub14,3.4761904761904763,4.25
A_A_Bay.mp4/sub15,3.4761904761904763,4.25
A_A_Bay.mp4/sub16,3.4761904761904763,4.25
A_A_Bay.mp4/sub17,3.4761904761904763,4.25
A_A_Bay.mp4/sub18,3.4761904761904763,4.25
A_A_Bay.mp4/sub19,3.4761904761904763,4.25
A_A_Bay.mp4/sub20,3.4761904761904763,4.25
A_A_Bay.mp4/sub21,3.4761904761904763,4.25
A_A_Boat.mp4/sub1,1.3888888888888888,2.1052631578947367
A_A_Boat.mp4/sub2,1.3888888888888888,2.1052631578947367
A_A_Boat.mp4/sub3,1.3888888888888888,2.1052631578947367
A_A_Boat.mp4/sub4,1.3888888888888888,2.1052631578947367
A_A_Boat.mp4/sub5,1.3888888888888888,2.1052631578947367
A_A_Boat.mp4/sub6,1.3888888888888888,2.1052631578947367
A_A_Boat.mp4/sub7,1.3888888888888888,2.1052631578947367
A_A_Boat.mp4/sub8,1.3888888888888888,2.1052631578947367
A_A_Boat.mp4/sub9,1.3888888888888888,2.1052631578947367
A_A_Boat.mp4/sub10,1.3888888888888888,2.1052631578947367
A_A_Boat.mp4/sub11,1.3888888888888888,2.1052631578947367
A_A_Boat.mp4/sub12,1.3888888888888888,2.1052631578947367
A_A_Boat.mp4/sub13,1.3888888888888888,2.1052631578947367
A_A_Boat.mp4/sub14,1.3888888888888888,2.1052631578947367
A_A_Boat.mp4/sub15,1.3888888888888888,2.1052631578947367
A_A_Boat.mp4/sub16,1.3888888888888888,2.1052631578947367
A_A_Boat.mp4/sub17,1.3888888888888888,2.1052631578947367
A_A_Boat.mp4/sub18,1.3888888888888888,2.1052631578947367
A_A_Boat.mp4/sub19,1.3888888888888888,2.1052631578947367
A_A_Boat.mp4/sub20,1.3888888888888888,2.1052631578947367
A_A_Boat.mp4/sub21,1.3888888888888888,2.1052631578947367
A_A_Coffee.mp4/sub1,1.761904761904762,2.473684210526316
A_A_Coffee.mp4/sub2,1.761904761904762,2.473684210526316
A_A_Coffee.mp4/sub3,1.761904761904762,2.473684210526316
A_A_Coffee.mp4/sub4,1.761904761904762,2.473684210526316
A_A_Coffee.mp4/sub5,1.761904761904762,2.473684210526316
A_A_Coffee.mp4/sub6,1.761904761904762,2.473684210526316
A_A_Coffee.mp4/sub7,1.761904761904762,2.473684210526316
A_A_Coffee.mp4/sub8,1.761904761904762,2.473684210526316
A_A_Coffee.mp4/sub9,1.761904761904762,2.473684210526316
A_A_Coffee.mp4/sub10,1.761904761904762,2.473684210526316
A_A_Coffee.mp4/sub11,1.761904761904762,2.473684210526316
A_A_Coffee.mp4/sub12,1.761904761904762,2.473684210526316
A_A_Coffee.mp4/sub13,1.761904761904762,2.473684210526316
A_A_Coffee.mp4/sub14,1.761904761904762,2.473684210526316
A_A_Coffee.mp4/sub15,1.761904761904762,2.473684210526316
A_A_Coffee.mp4/sub16,1.761904761904762,2.473684210526316
